id_Avaliacao,Id_Visita,Id_Cliente,Id_Imovel,Localizacao,Tamanho,Planta_Imovel,Qualidade_Acabamento,Estado_Conservacao,Condominio_AreaComun,Preco,Preco_N10
1,1,1,98734,10,7,4,9,8,3,8,1200000
2,34415,1,98567,9,9,10,8,7,8,7,1200000
3,34416,2,5568,10,10,10,10,10,10,10,1200000
4,34417,4,6677,10,10,10,10,10,10,10,1200000
6,34418,5,3344,10,10,10,10,10,10,10,
7,34418,6,5566,10,10,10,10,10,10,10,1200000
8,34418,5,5566,10,10,10,10,10,10,10,1200000
5,34418,6,3344,10,10,10,10,10,10,10,1200000
9,34419,7,5566,10,10,10,10,10,10,10,10000000
11,34419,7,7799,10,10,10,10,10,10,10,1200000
12,34419,8,7799,8,8,8,8,8,8,8,800000
10,34419,8,5566,10,10,10,10,10,10,10,1109090
13,34420,9,5566,10,10,10,10,10,10,10,
14,34421,10,3344,10,10,10,10,10,10,10,1200000
15,34422,11,8899,10,10,10,10,10,10,10,1200000
16,34423,12,7755,9,6,10,7,8,3,9,1200000
17,34424,13,8866,9,10,10,9,8,9,9,1200000
18,34425,14,99867,8,10,10,10,10,10,10,1200000
18,34425,14,28,8,10,10,10,10,10,10,1200000
