,codigo,anunciante,oferta,tipo,area_util,bairro,cidade,preco,valor_m2,quartos,vagas,latitude,longitude,cluster
41688,AP0886,Thaís Imobiliaria,Aluguel,Apartamento,101,ASA NORTE,BRASILIA,3600,35,4.0,,-157509284,-47881941,4
41728,988132,Magda Imóveis,Aluguel,Apartamento,271,ASA NORTE,BRASILIA,15700,57,4.0,3.0,-157455696,-478865813,7
41737,694L-DFI,TL Imóveis,Aluguel,Apartamento,100,ASA NORTE,BRASILIA,4850,48,3.0,1.0,-157450732,-478955049,3
41759,AP0390,Aguiar de Vasconcelos,Aluguel,Apartamento,181,ASA NORTE,BRASILIA,7500,41,1.0,1.0,-157697867,-478838257,1
41782,215,IMOBMAXX,Aluguel,Apartamento,69,ASA NORTE,BRASILIA,3400,49,2.0,,-157705987,-478916191,3
41831,1052826,Manu Netimóveis,Aluguel,Apartamento,75,ASA NORTE,BRASILIA,4500,60,2.0,1.0,-157495498,-478857893,0
41844,SQN208A303,JC Louzada Imob,Aluguel,Apartamento,160,ASA NORTE,BRASILIA,6400,40,4.0,1.0,-157619822,-478809301,1
41845,LIFE,Joaquim Cândido imóveis,Aluguel,Apartamento,80,ASA NORTE,BRASILIA,4800,60,1.0,1.0,-157813383,-478899457,0
41891,1001336,Denali Escritório de Negócios,Aluguel,Apartamento,127,ASA NORTE,BRASILIA,7300,57,4.0,2.0,-157574311,-478877971,7
41914,202322179606,Realiza Imóveis,Aluguel,Apartamento,98,ASA NORTE,BRASILIA,3400,34,2.0,1.0,-157451059,-478935382,4
41939,880261060-136,RE/MAX Pater,Aluguel,Apartamento,30,ASA NORTE,BRASILIA,1000,33,1.0,,-157768382,-478779533,4
41956,1002790,Júpiter Escritório Imobiliário,Aluguel,Apartamento,135,ASA NORTE,BRASILIA,7300,54,3.0,1.0,-157532295,-478884569,7
41960,1012676,Abdala Imóveis,Aluguel,Apartamento,30,ASA NORTE,BRASILIA,2400,80,1.0,1.0,-15790901,-47885275,5
41986,703NAPTO223,Joaquim Cândido imóveis,Aluguel,Apartamento,42,ASA NORTE,BRASILIA,3230,76,1.0,1.0,-157813383,-478899457,2
42105,315301,Solução Imóveis,Aluguel,Apartamento,93,ASA NORTE,BRASILIA,4100,44,2.0,1.0,-157501617,-478858701,8
42135,AL202N,Nova Era Imob,Aluguel,Apartamento,190,ASA NORTE,BRASILIA,7900,41,4.0,1.0,-157817029,-478784498,1
42152,945089,KR Real State,Aluguel,Apartamento,210,ASA NORTE,BRASILIA,6000,28,4.0,1.0,-157664776,-47884947,6
42160,495886,ARS Imóveis,Aluguel,Apartamento,55,ASA NORTE,BRASILIA,3000,54,2.0,,-157391168,-478935763,7
42176,AD0003A,Buriti imóveis,Aluguel,Apartamento,382,ASA NORTE,BRASILIA,19800,51,4.0,3.0,-157580429,-478906367,3
42192,1003726,HR Gestão Imobiliária,Aluguel,Apartamento,93,ASA NORTE,BRASILIA,7500,80,2.0,1.0,-157626292,-478799503,5
42246,COB,Joaquim Cândido imóveis,Aluguel,Apartamento,80,ASA NORTE,BRASILIA,4148,51,1.0,1.0,-157813383,-478899457,3
42326,1009927,KR Real State,Aluguel,Apartamento,376,ASA NORTE,BRASILIA,13500,35,4.0,4.0,-157451341,-478956222,4
42380,1029920,Curadoria de Imóveis,Aluguel,Apartamento,168,ASA NORTE,BRASILIA,7400,44,3.0,2.0,-157540879,-478888575,8
42393,AP0570,4IMOB,Aluguel,Apartamento,200,ASA NORTE,BRASILIA,12000,60,4.0,2.0,-157571407,-478904008,0
42414,1032759,Paulo Bites,Aluguel,Apartamento,139,ASA NORTE,BRASILIA,6980,50,3.0,1.0,-157575564,-478905167,3
42435,733361,Casagrande Marketing Imobiliário,Aluguel,Apartamento,43,ASA NORTE,BRASILIA,3245,74,1.0,1.0,-157539973,-478957712,2
42448,VILLA41552A01,HR Gestão Imobiliária,Aluguel,Apartamento,117,ASA NORTE,BRASILIA,4500,38,3.0,1.0,-157533223,-478841128,1
42464,1013177,Gilberto Danzmann,Aluguel,Apartamento,150,ASA NORTE,BRASILIA,6000,40,4.0,,-157815064,-478766555,1
42491,1049855,Êxito Netimóveis,Aluguel,Apartamento,70,ASA NORTE,BRASILIA,3950,56,2.0,,-157525434,-478861937,7
42706,VILLA150221A01,Bordalo PRIME Imobiliária,Aluguel,Apartamento,110,ASA NORTE,BRASILIA,9000,81,3.0,2.0,-157603157,-478868262,5
42720,LIV,Joaquim Cândido imóveis,Aluguel,Apartamento,43,ASA NORTE,BRASILIA,3245,75,1.0,1.0,-157813383,-478899457,2
42740,1051393,Êxito Netimóveis,Aluguel,Apartamento,88,ASA NORTE,BRASILIA,5800,65,3.0,1.0,-157671917,-478844141,0
42759,1014966,Solo Empreendimentos Imobiliários,Aluguel,Apartamento,65,ASA NORTE,BRASILIA,3600,55,2.0,1.0,-157660717,-478855855,7
42782,225L-DFI,SP Empreendimentos Imobiliários,Aluguel,Apartamento,75,ASA NORTE,BRASILIA,5500,73,2.0,2.0,-157412859,-478838819,2
42788,APDF0067CI,Realiza Corretora de Seguros e Imóveis,Aluguel,Apartamento,376,ASA NORTE,BRASILIA,19000,50,4.0,4.0,-157451341,-478956222,3
42795,880261060-126,RE/MAX Pater,Aluguel,Apartamento,30,ASA NORTE,BRASILIA,1100,36,1.0,,-157600522,-47880663,4
42800,1019034,Gabriela Peninsula Imóveis,Aluguel,Apartamento,181,ASA NORTE,BRASILIA,14800,81,4.0,2.0,-157455696,-478865813,5
42904,4233,Dall'Oca Imóveis,Aluguel,Apartamento,373,ASA NORTE,BRASILIA,15000,40,4.0,3.0,-157572123,-478878593,1
42916,1049892,Manu Netimóveis,Aluguel,Apartamento,32,ASA NORTE,BRASILIA,2000,62,1.0,,-157398741,-478934532,0
42930,AP3507,Coemi Imóveis,Aluguel,Apartamento,120,ASA NORTE,BRASILIA,5540,46,3.0,1.0,-157415391,-478953,8
42972,AP0075,Duprime Imobiliária,Aluguel,Apartamento,112,ASA NORTE,BRASILIA,5000,44,3.0,1.0,-157672261,-4788772,8
43037,1029401,Cláudio Martins de Melo,Aluguel,Apartamento,66,ASA NORTE,BRASILIA,2300,34,2.0,,-157749428,-478903362,4
43061,880261060-138,RE/MAX Pater,Aluguel,Apartamento,33,ASA NORTE,BRASILIA,900,27,1.0,,-157452916,-4788731,6
43084,AP4524,Coemi Imóveis,Aluguel,Apartamento,128,ASA NORTE,BRASILIA,6500,50,3.0,1.0,-157554874,-478847805,3
43105,683L-DFI,TL Imóveis,Aluguel,Apartamento,64,ASA NORTE,BRASILIA,2500,38,2.0,,-157387853,-479001128,1
43110,880261060-135,RE/MAX Pater,Aluguel,Apartamento,30,ASA NORTE,BRASILIA,1000,33,1.0,,-157595107,-478796549,4
43139,AP0838,Elo imóveis,Aluguel,Apartamento,34,ASA NORTE,BRASILIA,2400,70,1.0,1.0,-157477129,-479014025,2
43140,691L-DFI,TL Imóveis,Aluguel,Apartamento,110,ASA NORTE,BRASILIA,6000,54,3.0,2.0,-157551223,-478927187,7
43301,BP28,Letícia Alves,Aluguel,Apartamento,42,ASA NORTE,BRASILIA,3600,85,1.0,1.0,-157661941,-478750763,5
43328,AP2567,Coemi Imóveis,Aluguel,Apartamento,119,ASA NORTE,BRASILIA,5500,46,3.0,1.0,-15748753,-47893592,8
43360,1014867,Requinte Assessoria Imobiliária,Aluguel,Apartamento,85,ASA NORTE,BRASILIA,3800,44,3.0,,-157679444,-478762465,8
43400,1017154,Marcos Siqueira - My House,Aluguel,Apartamento,125,ASA NORTE,BRASILIA,5600,44,3.0,1.0,-157641504,-47885321,8
43456,1030705,Celso Pinheiro imóveis,Aluguel,Apartamento,140,ASA NORTE,BRASILIA,7000,50,4.0,2.0,-157398744,-478891122,3
43478,212L-DFI,TL Imóveis,Aluguel,Apartamento,35,ASA NORTE,BRASILIA,1000,28,1.0,,-157559651,-478943367,6
43482,1033499,Lília Carmona,Aluguel,Apartamento,90,ASA NORTE,BRASILIA,3700,41,3.0,,-157407646,-478865763,1
43542,824154,Eliane Pinheiro Imoveis,Aluguel,Apartamento,90,ASA NORTE,BRASILIA,3200,35,3.0,,-157576822,-478792017,4
43581,701020,Precisa Netimóveis,Aluguel,Apartamento,81,ASA NORTE,BRASILIA,3600,44,3.0,,-157700793,-478874659,8
43640,9668,61 Imóveis,Aluguel,Apartamento,466,ASA NORTE,BRASILIA,25000,53,4.0,4.0,-157455696,-478865813,7
43661,1034689,Iran Silva Escritório Imobiliário,Aluguel,Apartamento,197,ASA NORTE,BRASILIA,5600,28,3.0,1.0,-157681294,-478813501,6
43684,875L-DFI,Armando Imóveis,Aluguel,Apartamento,42,ASA NORTE,BRASILIA,1700,40,1.0,,-157512534,-478962261,1
43689,1032300,Solução Imóveis,Aluguel,Apartamento,45,ASA NORTE,BRASILIA,2900,64,1.0,,-157377875,-478962035,0
43743,1033991,Franco Gouveia Consultoria Imobiliária,Aluguel,Apartamento,84,ASA NORTE,BRASILIA,5000,59,2.0,,-157527822,-478828372,0
43833,AP0191,ABC Imoveis,Aluguel,Apartamento,30,ASA NORTE,BRASILIA,1490,49,1.0,,-157768382,-478779533,3
43841,AP0310,Consult Imóveis,Aluguel,Apartamento,230,ASA NORTE,BRASILIA,14500,63,3.0,2.0,-157412859,-478838819,0
43867,AP4530,Coemi Imóveis,Aluguel,Apartamento,26,ASA NORTE,BRASILIA,1600,61,1.0,1.0,-157359669,-479053514,0
43954,892452A,Agropar Netimóveis,Aluguel,Apartamento,122,ASA NORTE,BRASILIA,5000,40,3.0,1.0,-157415721,-478931519,1
43993,837661,Agropar Netimóveis,Aluguel,Apartamento,134,ASA NORTE,BRASILIA,5200,38,3.0,1.0,-157535255,-478881553,1
43999,AP0281,Paulo Duarte Imóveis,Aluguel,Apartamento,170,ASA NORTE,BRASILIA,6900,40,3.0,1.0,-157794244,-478786568,1
44026,224L-DFI,SP Empreendimentos Imobiliários,Aluguel,Apartamento,75,ASA NORTE,BRASILIA,5500,73,2.0,2.0,-157508971,-478888464,2
44046,AP0296,ABC Imoveis,Aluguel,Apartamento,45,ASA NORTE,BRASILIA,3490,77,2.0,,-157682843,-478923451,5
44086,RRO1293,Rodolfo Imóveis,Aluguel,Apartamento,26,ASA NORTE,BRASILIA,1000,38,1.0,,-157538452,-478818078,1
44195,AP1657,Coemi Imóveis,Aluguel,Apartamento,63,ASA NORTE,BRASILIA,3600,57,2.0,1.0,-157381777,-478899146,7
44249,951014,Evyo Guedes Corretor,Aluguel,Apartamento,127,ASA NORTE,BRASILIA,6200,48,3.0,1.0,-157383389,-478939141,3
44324,1026145,Renata Medeiros,Aluguel,Apartamento,94,ASA NORTE,BRASILIA,4800,51,2.0,1.0,-157570059,-478837004,3
44329,1284980,J Ribeiro Emp Imobiliários,Aluguel,Apartamento,68,ASA NORTE,BRASILIA,3200,47,2.0,,-157789775,-478898785,3
44357,AP0315,Consult Imóveis,Aluguel,Apartamento,40,ASA NORTE,BRASILIA,1500,37,1.0,,-157731022,-478892335,1
44379,AP1419,Coemi Imóveis,Aluguel,Apartamento,42,ASA NORTE,BRASILIA,2500,59,1.0,,-157462975,-478938528,0
44405,CO0060,Atalaia Empreendimentos Imobiliários,Aluguel,Apartamento,100,ASA NORTE,BRASILIA,6931,69,1.0,1.0,-157805624,-478893126,2
44514,AP0239,ABC Imoveis,Aluguel,Apartamento,30,ASA NORTE,BRASILIA,890,29,1.0,,-157452668,-478979569,6
44619,AN-LAR3L-DFI,André Pinedo,Aluguel,Apartamento,50,ASA NORTE,BRASILIA,2500,49,2.0,,-157694828,-478903683,3
44646,24720,Beiramar Imóveis,Aluguel,Apartamento,97,ASA NORTE,BRASILIA,4620,47,2.0,,-15761997,-47890934,3
44769,1027196,Brasnil Empreendimentos Imobiliários,Aluguel,Apartamento,110,ASA NORTE,BRASILIA,5000,45,3.0,1.0,-157617281,-4788224,8
44792,AP00093,Rômulo Araújo,Aluguel,Apartamento,124,ASA NORTE,BRASILIA,5800,46,3.0,,-157562565,-47887046,8
44820,AP1653,Coemi Imóveis,Aluguel,Apartamento,30,ASA NORTE,BRASILIA,1600,53,1.0,,-157477129,-479014025,7
44843,VK4485,TRK  Imóveis,Aluguel,Apartamento,27,ASA NORTE,BRASILIA,1450,53,1.0,1.0,-157542997,-479005703,7
44846,AP0044,SPR Imóveis,Aluguel,Apartamento,60,ASA NORTE,BRASILIA,2900,48,2.0,,-157795967,-478907921,3
44917,744531,Agropar Netimóveis,Aluguel,Apartamento,42,ASA NORTE,BRASILIA,3380,80,1.0,1.0,-157365024,-478901912,5
44965,1029933,Requinte Assessoria Imobiliária,Aluguel,Apartamento,95,ASA NORTE,BRASILIA,5300,55,3.0,1.0,-157823801,-47878257,7
