,codigo,anunciante,oferta,tipo,area_util,bairro,cidade,preco,valor_m2,quartos,vagas,latitude,longitude,cluster
41844,SQN208A303,JC Louzada Imob,Aluguel,Apartamento,160,ASA NORTE,BRASILIA,6400,40,4.0,1.0,-157619822,-478809301,7
41956,1002790,Júpiter Escritório Imobiliário,Aluguel,Apartamento,135,ASA NORTE,BRASILIA,7300,54,3.0,1.0,-157532295,-478884569,4
42414,1032759,Paulo Bites,Aluguel,Apartamento,139,ASA NORTE,BRASILIA,6980,50,3.0,1.0,-157575564,-478905167,0
42464,1013177,Gilberto Danzmann,Aluguel,Apartamento,150,ASA NORTE,BRASILIA,6000,40,4.0,,-157815064,-478766555,7
43456,1030705,Celso Pinheiro imóveis,Aluguel,Apartamento,140,ASA NORTE,BRASILIA,7000,50,4.0,2.0,-157398744,-478891122,0
45632,SQN209K,RW Imóveis,Aluguel,Apartamento,139,ASA NORTE,BRASILIA,6100,43,4.0,1.0,-157588176,-478841905,5
45992,1009902,KR Real State,Aluguel,Apartamento,162,ASA NORTE,BRASILIA,8500,52,5.0,1.0,-157501617,-478858701,3
46500,AP0372A,Artiaga Imóveis,Aluguel,Apartamento,139,ASA NORTE,BRASILIA,5700,41,4.0,1.0,-157584925,-478836022,2
46721,AP0024,DNG Imobiliária,Aluguel,Apartamento,154,ASA NORTE,BRASILIA,6000,38,3.0,1.0,-157697488,-478839737,1
47230,RRO604,Rodolfo Imóveis,Aluguel,Apartamento,135,ASA NORTE,BRASILIA,5000,37,3.0,1.0,-157501117,-478894768,8
47616,03718,Plano Imobiliária,Aluguel,Apartamento,154,ASA NORTE,BRASILIA,7500,48,3.0,1.0,-157701809,-478836208,6
