,codigo,anunciante,oferta,tipo,area_util,bairro,cidade,preco,valor_m2,quartos,vagas,latitude,longitude,cluster
20,9376,61 Imóveis,Venda,Apartamento,134,ASA SUL,BRASILIA,1450000,10820,3.0,,-158085198,-478982892,0
174,SQS,Gilberto Medeiros,Venda,Apartamento,134,ASA SUL,BRASILIA,1650000,12313,3.0,,-15816126,-479029625,2
275,1041954,Manu Netimóveis,Venda,Apartamento,125,ASA SUL,BRASILIA,1370000,10907,3.0,,-158279649,-479242657,0
346,AP2093,Simóvel,Venda,Apartamento,141,ASA SUL,BRASILIA,1550000,10992,3.0,,-15816126,-479029625,0
470,Apto714sul,Marcelo Rodrigues Soares  Corretor de imóveis,Venda,Apartamento,124,ASA SUL,BRASILIA,1200000,9616,3.0,,-158234668,-479238858,8
517,1001928,Anaiara Ribeiro,Venda,Apartamento,120,ASA SUL,BRASILIA,1690000,14083,3.0,1.0,-158261727,-479098302,4
1744,880111090-3,RE/MAX Immobili,Venda,Apartamento,121,ASA SUL,BRASILIA,1180000,9752,3.0,,-158142551,-479006497,8
1780,954359,Luiz Cláudio Corretor de Imóveis,Venda,Apartamento,135,ASA SUL,BRASILIA,1375000,10185,3.0,,-158087889,-478993998,5
1868,DAD007,Daleprane Inteligência Imobiliária,Venda,Apartamento,143,ASA SUL,BRASILIA,1960000,13706,3.0,1.0,-158301369,-479227479,4
1989,142,Metro Quadrado Imobiliária e Incorporadora,Venda,Apartamento,140,ASA SUL,BRASILIA,1375000,9821,3.0,,-158166268,-479038167,8
2222,AP0028,Vivi Nery,Venda,Apartamento,140,ASA SUL,BRASILIA,1610000,11500,3.0,,-15812462,-478984893,7
2466,AP17017,Thaís Imobiliaria,Venda,Apartamento,117,ASA SUL,BRASILIA,810000,6923,3.0,,-158183395,-478940017,3
2718,6352,61 Imóveis,Venda,Apartamento,140,ASA SUL,BRASILIA,1265000,9035,3.0,,-158064497,-478962633,1
2976,730093,Bloco Imob,Venda,Apartamento,140,ASA SUL,BRASILIA,1380000,9857,3.0,,-15816126,-479029625,8
3017,VILLA147776V01,EXCELLENCE NEGÓCIOS IMOBILIÁRIOS,Venda,Apartamento,136,ASA SUL,BRASILIA,1400000,10294,3.0,,-158099956,-479001772,5
3166,977976,Park Imob,Venda,Apartamento,137,ASA SUL,BRASILIA,1498000,10934,3.0,,-158078951,-478998352,0
3543,9411,61 Imóveis,Venda,Apartamento,136,ASA SUL,BRASILIA,1400000,10294,3.0,1.0,-158185472,-479064831,5
3716,947026,Neves Teixeira Imóveis,Venda,Apartamento,136,ASA SUL,BRASILIA,1490000,10955,3.0,,-158146754,-479011703,0
5407,990543,Êxito Netimóveis,Venda,Apartamento,130,ASA SUL,BRASILIA,1380000,10615,3.0,,-15816126,-479029625,0
5444,AP3771,Coemi Imóveis,Venda,Apartamento,130,ASA SUL,BRASILIA,1170000,9000,3.0,,-158106404,-479006433,1
5485,1011165,Sartori Netimóveis,Venda,Apartamento,136,ASA SUL,BRASILIA,1400000,10294,3.0,1.0,-158194826,-479061514,5
